,City,Year,Month,Rainfall in mm,AQI,Sunshine_Hours
0,Delhi,2015,1,12.4,342.2903226,196.1
1,Delhi,2015,2,6.6,327.9285714,214.1
2,Delhi,2015,3,71.8,256.0645161,243.4
3,Delhi,2015,4,34.8,305.2666667,241.0
4,Delhi,2015,5,8.4,348.5806452,254.5
5,Delhi,2015,6,43.7,258.3333333,187.3
6,Delhi,2015,7,130.3,200.2903226,177.8
7,Delhi,2015,8,89.2,218.0645161,179.5
8,Delhi,2015,9,32.1,225.3,234.0
9,Delhi,2015,10,3.7,325.0,284.0
10,Delhi,2015,11,2.3,405.0333333,227.6
11,Delhi,2015,12,0.2,355.3225806,218.3
12,Delhi,2016,1,13.6,441.9032258,195.6
13,Delhi,2016,2,7.3,312.4482759,216.4
14,Delhi,2016,3,78.9,230.0967742,267.0
15,Delhi,2016,4,38.3,290.6666667,283.4
16,Delhi,2016,5,9.2,268.3548387,270.3
17,Delhi,2016,6,48.1,243.7333333,209.4
18,Delhi,2016,7,143.3,164.9666667,181.2
19,Delhi,2016,8,98.1,147.4193548,171.4
20,Delhi,2016,9,35.3,218.7,234.3
21,Delhi,2016,10,4.1,411.0645161,290.1
22,Delhi,2016,11,2.5,474.8333333,228.9
23,Delhi,2016,12,0.2,409.2903226,202.6
24,Delhi,2017,1,12.2,354.1935484,208.8
25,Delhi,2017,2,6.6,343.9285714,205.0
26,Delhi,2017,3,71.0,282.2580645,258.9
27,Delhi,2017,4,34.3,316.8,287.9
28,Delhi,2017,5,8.4,315.4193548,289.6
29,Delhi,2017,6,43.2,144.7586207,211.0
30,Delhi,2017,7,130.1,67.16129032,170.5
31,Delhi,2017,8,89.0,68.30434783,176.6
32,Delhi,2017,9,32.0,114.6666667,207.7
33,Delhi,2017,10,3.7,284.1612903,281.0
34,Delhi,2017,11,2.3,406.7333333,242.5
35,Delhi,2017,12,0.2,337.1290323,215.9
36,Delhi,2018,1,14.9,349.7419355,187.9
37,Delhi,2018,2,8.0,289.1785714,189.9
38,Delhi,2018,3,86.7,234.1290323,240.2
39,Delhi,2018,4,42.1,245.5333333,255.1
40,Delhi,2018,5,10.1,235.3225806,255.9
41,Delhi,2018,6,52.9,224.3666667,201.7
42,Delhi,2018,7,157.6,112.4193548,164.6
43,Delhi,2018,8,107.9,122.0645161,174.9
44,Delhi,2018,9,38.8,121.9333333,195.8
45,Delhi,2018,10,4.5,290.4193548,257.0
46,Delhi,2018,11,2.8,367.0666667,215.4
47,Delhi,2018,12,0.2,400.3870968,183.5
48,Delhi,2019,1,11.0,365.7419355,170.6
49,Delhi,2019,2,6.1,258.1785714,198.1
50,Delhi,2019,3,65.6,197.3548387,243.8
51,Delhi,2019,4,31.7,219.4,253.3
52,Delhi,2019,5,7.8,235.8387097,251.4
53,Delhi,2019,6,39.9,197.7666667,188.3
54,Delhi,2019,7,120.3,145.0967742,167.5
55,Delhi,2019,8,82.3,99.29032258,170.9
56,Delhi,2019,9,29.6,106.5333333,202.9
57,Delhi,2019,10,3.4,251.0,271.1
58,Delhi,2019,11,2.1,356.1,201.4
59,Delhi,2019,12,0.2,353.9032258,193.7
60,Delhi,2020,1,13.2,308.4516129,201.8
61,Delhi,2020,2,7.0,262.137931,183.0
62,Delhi,2020,3,76.2,135.8387097,246.6
63,Delhi,2020,4,36.8,113.0,262.4
64,Delhi,2020,5,9.0,148.6451613,269.1
65,Delhi,2020,6,46.4,125.7333333,184.5
66,Delhi,2020,7,137.9,101.0,174.3
67,Delhi,2020,8,96.5,98.0808583,171.6
68,Delhi,2020,9,34.8,98.78775345,209.2
69,Delhi,2020,10,4.0,98.61657274,251.5
70,Delhi,2020,11,2.4,98.65802561,212.1
71,Delhi,2020,12,0.2,98.64798745,192.0
72,Delhi,2021,1,12.8,98.65041827,184.7
73,Delhi,2021,2,6.8,98.64982963,187.4
74,Delhi,2021,3,74.0,98.64997217,260.1
75,Delhi,2021,4,35.8,98.64993766,268.2
76,Delhi,2021,5,8.7,98.64994601,264.9
77,Delhi,2021,6,45.1,98.64994399,211.7
78,Delhi,2021,7,134.0,98.64994448,180.7
79,Delhi,2021,8,93.8,98.64994436,174.4
80,Delhi,2021,9,33.8,98.64994439,235.3
81,Delhi,2021,10,3.9,98.64994438,286.3
82,Delhi,2021,11,2.3,98.64994439,215.0
83,Delhi,2021,12,0.2,98.64994438,207.9
84,Delhi,2022,1,14.1,98.64994439,200.4
85,Delhi,2022,2,7.5,98.64994439,208.1
86,Delhi,2022,3,83.8,98.64994439,248.9
87,Delhi,2022,4,40.5,98.64994439,257.9
88,Delhi,2022,5,9.9,98.64994439,252.4
89,Delhi,2022,6,51.0,98.64994439,185.6
90,Delhi,2022,7,151.7,98.64994439,164.3
91,Delhi,2022,8,106.2,98.64994439,187.2
92,Delhi,2022,9,38.3,98.64994439,208.6
93,Delhi,2022,10,4.4,98.64994439,284.4
94,Delhi,2022,11,2.7,98.64994439,237.2
95,Delhi,2022,12,0.2,98.64994439,201.4
96,Delhi,2023,1,11.7,98.64994439,177.8
97,Delhi,2023,2,6.2,98.64994439,166.9
98,Delhi,2023,3,68.3,98.64994439,224.0
99,Delhi,2023,4,33.0,98.64994439,242.7
100,Delhi,2023,5,8.1,98.64994439,270.4
101,Delhi,2023,6,41.6,98.64994439,179.3
102,Delhi,2023,7,123.7,98.64994439,148.2
103,Delhi,2023,8,86.6,98.64994439,156.6
104,Delhi,2023,9,31.2,98.64994439,225.3
105,Delhi,2023,10,3.6,98.64994439,239.3
106,Delhi,2023,11,2.2,98.64994439,196.3
107,Delhi,2023,12,0.2,98.64994439,177.2
108,Delhi,2024,1,13.9,98.64994439,180.7
109,Delhi,2024,2,7.4,98.64994439,161.4
110,Delhi,2024,3,82.5,98.64994439,225.4
111,Delhi,2024,4,39.9,98.64994439,254.6
112,Delhi,2024,5,9.7,98.64994439,250.1
