City,YEAR,Month,Rainfall in mm
Delhi,2015,1,12.4
Chennai,2015,1,8.3
Bangalore,2015,1,1.7
Delhi,2015,2,6.6
Chennai,2015,2,2.3
Bangalore,2015,2,0.2
Delhi,2015,3,71.8
Chennai,2015,3,21.7
Bangalore,2015,3,24.4
Delhi,2015,4,34.8
Chennai,2015,4,108.8
Bangalore,2015,4,80.5
Delhi,2015,5,8.4
Chennai,2015,5,112.4
Bangalore,2015,5,125.3
Delhi,2015,6,43.7
Chennai,2015,6,62.4
Bangalore,2015,6,218.7
Delhi,2015,7,130.3
Chennai,2015,7,43.5
Bangalore,2015,7,112.0
Delhi,2015,8,89.2
Chennai,2015,8,81.6
Bangalore,2015,8,136.6
Delhi,2015,9,32.1
Chennai,2015,9,98.4
Bangalore,2015,9,164.5
Delhi,2015,10,3.7
Chennai,2015,10,132.6
Bangalore,2015,10,106.1
Delhi,2015,11,2.3
Chennai,2015,11,379.8
Bangalore,2015,11,138.1
Delhi,2015,12,0.2
Chennai,2015,12,152.8
Bangalore,2015,12,4.4
